CLASS_LVL,GENDER,MAJOR,PREV,LECATTEND,DISCATTEND,FINAL,FINALQ
4,2,10,3,3,3,70,2
4,2,4,2,2,2,48,1
4,2,8,2,3,3,1,1
4,1,11,1,1,1,64,2
4,1,10,1,2,1,71,2
4,2,6,2,3,3,7,1
4,2,8,1,1,1,57,2
4,1,9,1,3,3,37,1
4,1,3,1,2,2,70,2
4,2,9,2,3,3,26,1
4,2,11,2,1,2,57,2
4,2,8,2,3,3,79,3
4,2,6,2,1,1,88,3
4,1,11,1,3,3,85,3
4,2,1,3,3,3,100,4
4,1,1,1,2,3,96,4
4,2,10,1,3,3,62,2
4,2,6,3,1,1,89,4
4,1,1,1,2,2,93,4
4,2,11,2,1,1,75,3
4,2,2,1,1,3,92,4
4,1,1,1,1,3,61,2
4,1,10,2,1,3,84,3
4,1,10,1,3,3,95,4
4,2,8,1,2,1,85,3
4,2,10,1,2,3,99,4
4,1,10,2,1,2,82,3
4,2,10,2,3,1,79,3
4,2,1,2,3,3,83,3
4,2,10,2,3,3,99,4
4,2,10,1,2,3,56,1
4,2,3,1,1,2,50,1
4,1,1,1,3,3,97,4
4,1,11,1,3,1,62,2
4,1,11,1,1,1,91,4
4,1,4,1,3,3,65,2
4,2,8,1,3,1,83,3
4,2,2,1,1,3,72,2
4,2,1,1,1,1,93,4
4,1,10,1,3,3,79,3
4,1,8,1,1,3,21,1
4,2,11,1,2,1,25,1
4,2,10,1,1,3,78,3
4,1,10,2,1,1,31,1
4,2,9,2,3,3,84,3
4,1,10,1,1,3,77,3
4,2,10,2,2,3,70,2
4,1,1,1,1,1,84,3
4,1,2,1,2,1,50,1
4,2,11,1,2,1,35,1
4,2,6,2,3,3,65,2
4,1,8,2,3,3,65,2
4,2,11,2,2,3,15,1
4,2,4,2,3,3,88,3
4,1,4,1,2,3,32,1
4,2,2,1,2,2,14,1
4,2,10,1,2,3,48,1
4,2,4,3,1,3,90,4
4,1,10,3,2,1,83,3
4,2,1,1,2,2,93,4
4,2,6,2,2,3,95,4
4,2,10,2,1,1,69,2
4,2,10,1,1,2,4,1
4,2,4,2,3,3,83,3
4,2,11,1,2,1,50,1
4,2,1,1,3,2,85,3
4,2,10,1,1,1,27,1
4,2,2,1,3,3,84,3
4,1,2,1,3,3,36,1
4,2,11,2,2,2,95,4
4,1,10,2,3,3,17,1
4,2,6,3,3,3,49,1
