Process,Result
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Good
A,Bad
A,Bad
A,Bad
A,Bad
A,Bad
A,Bad
A,Bad
A,Bad
A,Bad
A,Bad
A,Bad
A,Bad
A,Bad
A,Bad
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Good
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
B,Bad
