date,fips,county,state,total_cases,total_deaths,daily_positive_7day_ma,daily_deaths_7day_ma,positivity_rate_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,rt_mean,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
1,6073,San Diego,CA,47485,792,269.857,2.71429,0.028141,2.69319,1.79546,4.03978,0.991062,753.923,502.616,1130.88,11135.2,7423.46,16702.8,0.003336,0.002224,0.005003,182571,121714,273856,0.054689,0.03646,0.082034
2,6073,San Diego,CA,47791,794,255.714,2.71429,0.02847,2.69437,1.79625,4.04155,0.971391,747.15,498.101,1120.73,11181.5,7454.34,16772.3,0.003349,0.002233,0.005024,183318,122212,274977,0.054913,0.036609,0.08237
3,6073,San Diego,CA,48200,798,267,3.28571,0.025974,2.66051,1.77367,3.99077,0.960839,733.659,489.106,1100.49,11209.9,7473.29,16814.9,0.003358,0.002239,0.005037,184051,122701,276077,0.055133,0.036755,0.082699
4,6073,San Diego,CA,48436,803,260.857,3.85714,0.025909,2.65699,1.77132,3.98548,0.960183,720.707,480.472,1081.06,11227.5,7485.03,16841.3,0.003363,0.002242,0.005045,184772,123181,277158,0.055349,0.036899,0.083023
5,6073,San Diego,CA,48660,803,275.143,3.85714,0.026347,2.65983,1.77322,3.98974,0.974411,721.372,480.915,1082.06,11235.4,7490.25,16853.1,0.003366,0.002244,0.005048,185494,123662,278240,0.055565,0.037043,0.083347
6,6073,San Diego,CA,48821,806,262.286,3.57143,0.025752,2.64969,1.76646,3.97454,0.99723,732.593,488.396,1098.89,11251.8,7501.23,16877.8,0.003371,0.002247,0.005056,186226,124151,279339,0.055784,0.03719,0.083676
7,6073,San Diego,CA,49175,813,285,4.28571,0.024193,2.62717,1.75145,3.94076,1.02559,762.614,508.41,1143.92,11287.8,7525.21,16931.7,0.003381,0.002254,0.005072,186989,124659,280483,0.056013,0.037342,0.084019
8,6073,San Diego,CA,49466,819,283,3.85714,0.024787,2.63229,1.75486,3.94843,1.05725,789.303,526.203,1183.96,11346.9,7564.61,17020.4,0.003399,0.002266,0.005098,187778,125185,281667,0.056249,0.037499,0.084374
9,6073,San Diego,CA,49823,821,290.286,3.85714,0.024571,2.627,1.75133,3.9405,1.08536,804.001,536.001,1206,11405.9,7603.93,17108.8,0.003417,0.002278,0.005125,188582,125721,282873,0.05649,0.03766,0.084735
10,6073,San Diego,CA,50143,825,277.571,3.85714,0.026536,2.649,1.766,3.9735,1.1056,819.116,546.078,1228.68,11472.2,7648.13,17208.3,0.003437,0.002291,0.005155,189401,126267,284102,0.056735,0.037824,0.085103
11,6073,San Diego,CA,50551,826,302.143,3.28571,0.025769,2.63702,1.75801,3.95552,1.11644,840.132,560.088,1260.2,11540.1,7693.38,17310.1,0.003457,0.002305,0.005185,190241,126828,285362,0.056987,0.037991,0.08548
12,6073,San Diego,CA,50746,826,298,3.28571,0.026127,2.63889,1.75926,3.95833,1.11873,862.803,575.202,1294.21,11621.2,7747.47,17431.8,0.003481,0.002321,0.005222,191104,127403,286656,0.057245,0.038164,0.085868
13,6073,San Diego,CA,51024,840,314.714,4.85714,0.026509,2.641,1.76067,3.9615,1.1137,878.812,585.875,1318.22,11717,7811.34,17575.5,0.00351,0.00234,0.005265,191983,127989,287974,0.057509,0.038339,0.086263
14,6073,San Diego,CA,51327,844,307.429,4.42857,0.027449,2.64971,1.76648,3.97457,1.10418,881.64,587.76,1322.46,11819.7,7879.79,17729.5,0.003541,0.00236,0.005311,192865,128576,289297,0.057773,0.038515,0.086659
15,6073,San Diego,CA,51470,847,286.286,4,0.026394,2.63462,1.75641,3.95192,1.09263,894.394,596.262,1341.59,11942.2,7961.48,17913.3,0.003577,0.002385,0.005366,193759,129173,290638,0.058041,0.038694,0.087061
16,6073,San Diego,CA,51781,865,279.714,6.28571,0.025828,2.62534,1.75023,3.93801,1.08566,907.672,605.114,1361.51,12096,8063.98,18144,0.003623,0.002416,0.005435,194667,129778,292000,0.058313,0.038875,0.087469
17,6073,San Diego,CA,51982,869,262.714,6.28571,0.024684,2.60896,1.7393,3.91344,1.08196,922.184,614.789,1383.28,12271,8180.67,18406.5,0.003676,0.002451,0.005514,195589,130393,293383,0.058589,0.039059,0.087883
18,6073,San Diego,CA,52355,853,257.714,3.85714,0.02454,2.60484,1.73656,3.90726,1.08285,936.789,624.526,1405.18,12474.1,8316.09,18711.2,0.003737,0.002491,0.005605,196526,131017,294788,0.058869,0.039246,0.088304
19,6073,San Diego,CA,52735,853,284.143,3.85714,0.024396,2.60074,1.73383,3.90112,1.08718,954.435,636.289,1431.65,12707.9,8471.91,19061.8,0.003807,0.002538,0.00571,197480,131653,296220,0.059155,0.039437,0.088733
20,6073,San Diego,CA,53000,857,282.286,2.42857,0.025336,2.60985,1.7399,3.91478,1.09704,972.633,648.422,1458.95,12959.1,8639.42,19438.7,0.003882,0.002588,0.005823,198453,132302,297679,0.059447,0.039631,0.08917
21,6073,San Diego,CA,53263,863,276.571,2.71429,0.026176,2.61752,1.74502,3.92629,1.11323,1000.98,667.319,1501.47,13227.5,8818.34,19841.3,0.003962,0.002642,0.005943,199454,132969,299180,0.059747,0.039831,0.08962
22,6073,San Diego,CA,53498,866,289.714,2.71429,0.026545,2.61949,1.74633,3.92923,1.13064,1034.87,689.914,1552.31,13499.8,8999.84,20249.7,0.004044,0.002696,0.006066,200489,133659,300733,0.060057,0.040038,0.090085
23,6073,San Diego,CA,53928,867,306.714,0.285714,0.029476,2.65033,1.76689,3.97549,1.14911,1076.82,717.879,1615.23,13787.3,9191.52,20680.9,0.00413,0.002753,0.006195,201565,134377,302348,0.060379,0.040253,0.090569
24,6073,San Diego,CA,54314,868,333.143,-0.14286,0.033262,2.68822,1.79215,4.03234,1.16996,1128.26,752.171,1692.38,14111.5,9407.69,21167.3,0.004227,0.002818,0.006341,202694,135129,304040,0.060717,0.040478,0.091076
25,6073,San Diego,CA,54583,870,318.286,2.42857,0.034284,2.69608,1.79739,4.04413,1.19066,1155.31,770.206,1732.96,14447.7,9631.82,21671.6,0.004328,0.002885,0.006492,203849,135899,305773,0.061063,0.040709,0.091595
26,6073,San Diego,CA,54941,870,315.143,2.42857,0.032134,2.67138,1.78092,4.00707,1.21186,1213.08,808.721,1819.62,14820.7,9880.45,22231,0.00444,0.00296,0.006659,205062,136708,307593,0.061427,0.040951,0.09214
27,6073,San Diego,CA,55210,877,315.714,2.85714,0.032113,2.66866,1.7791,4.00299,1.23845,1276.42,850.948,1914.63,15234.3,10156.2,22851.4,0.004563,0.003042,0.006845,206338,137559,309508,0.061809,0.041206,0.092713
28,6073,San Diego,CA,55540,881,325.286,2.57143,0.033241,2.67777,1.78518,4.01666,1.26466,1343.51,895.674,2015.27,15699,10466,23548.5,0.004703,0.003135,0.007054,207682,138455,311523,0.062211,0.041474,0.093317
29,6073,San Diego,CA,55898,885,342.857,2.71429,0.033347,2.67634,1.78423,4.01451,1.30105,1433.56,955.709,2150.34,16250.9,10833.9,24376.4,0.004868,0.003245,0.007302,209115,139410,313673,0.062641,0.041761,0.093961
30,6073,San Diego,CA,56369,888,348.714,3,0.031265,2.65247,1.76831,3.97871,1.33718,1543.04,1028.69,2314.56,16899.6,11266.4,25349.3,0.005062,0.003375,0.007593,210659,140439,315988,0.063103,0.042069,0.094654
