Income,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance
182.728,982,4,98,17, Male,No,Yes,Caucasian,1999
186.634,949,2,41,14,Female,No,Yes,African American,1809
180.682,832,2,58,8,Female,No,Yes,African American,1405
152.298,828,4,41,12,Female,No,Yes,Asian,1779
140.672,817,7,46,9, Male,No,Yes,African American,1677
158.889,805,1,62,17,Female,No,Yes,Caucasian,1448
160.231,754,2,69,17, Male,No,No,Caucasian,1192
121.834,750,3,54,16, Male,No,No,African American,1573
135.118,747,3,81,15,Female,No,Yes,Asian,1393
130.209,730,7,39,19,Female,No,Yes,Caucasian,1426
107.841,728,3,87,7, Male,No,No,African American,1597
125.48,721,3,82,16, Male,No,Yes,Caucasian,1361
149.316,707,1,80,16, Male,No,No,African American,1107
124.29,701,3,52,17,Female,Yes,No,Asian,1687
113.829,694,4,38,13,Female,No,Yes,Asian,1388
128.669,685,3,67,16, Male,No,Yes,Asian,1243
146.183,682,6,66,15, Male,No,No,Caucasian,1050
148.924,681,3,36,11,Female,No,No,Asian,964
180.379,665,3,67,8,Female,Yes,Yes,Asian,1050
115.52,656,2,69,14, Male,No,No,African American,1140
151.947,642,2,91,11,Female,No,Yes,African American,732
163.329,636,3,50,14, Male,No,Yes,Caucasian,529
98.515,633,5,78,11,Female,No,No,African American,1230
91.362,626,1,47,17, Male,No,Yes,Asian,1341
72.945,621,3,64,8,Female,No,No,Caucasian,1355
123.299,610,2,89,17, Male,Yes,No,African American,1259
83.851,607,5,47,18, Male,No,No,Caucasian,1311
148.08,599,2,83,13, Male,No,Yes,Caucasian,454
71.682,599,3,57,16, Male,No,Yes,Caucasian,1208
63.095,589,4,30,14, Male,No,Yes,Caucasian,1407
121.709,584,4,50,6, Male,No,Yes,Caucasian,701
63.534,581,2,50,17,Female,No,Yes,Caucasian,1298
69.656,579,3,41,14, Male,No,Yes,African American,1329
101.788,574,2,84,11, Male,No,Yes,Caucasian,849
80.18,569,4,77,10, Male,No,No,Caucasian,1151
77.38,564,3,50,12,Female,No,Yes,Caucasian,997
61.069,564,3,56,14, Male,No,Yes,Caucasian,1264
134.181,563,2,48,13,Female,No,No,Caucasian,526
58.026,560,5,67,11,Female,No,No,Caucasian,1237
83.869,554,2,83,11, Male,No,No,African American,930
103.893,549,3,84,17, Male,No,No,Asian,669
69.943,547,3,76,9, Male,No,Yes,Asian,1058
59.53,543,3,52,9,Female,No,No,African American,1176
113.659,538,2,66,15, Male,Yes,Yes,African American,1155
58.781,538,2,81,12,Female,No,Yes,Asian,1103
115.123,538,3,83,14,Female,No,No,African American,661
82.706,536,2,64,13,Female,No,Yes,Asian,905
92.386,534,2,75,18,Female,No,Yes,Asian,843
68.713,531,2,56,16, Male,Yes,No,Caucasian,1587
73.914,529,6,67,15,Female,No,Yes,Caucasian,1048
59.879,527,6,78,15,Female,No,No,Caucasian,1032
94.193,527,2,44,16,Female,No,Yes,Caucasian,846
52.179,522,2,57,14, Male,No,No,Asian,1142
128.04,518,2,78,11,Female,No,Yes,Caucasian,250
93.039,517,1,67,12, Male,No,Yes,African American,749
63.809,515,1,56,12, Male,No,Yes,Caucasian,1086
87.625,515,2,46,10,Female,No,No,African American,767
104.593,514,4,71,11, Male,No,No,Asian,580
71.408,512,2,87,9, Male,No,No,Asian,872
43.682,511,1,49,9, Male,No,Yes,Caucasian,1081
49.166,508,3,68,14,Female,No,No,Asian,984
104.483,507,2,41,14, Male,No,Yes,African American,583
49.502,505,4,55,14, Male,No,Yes,Caucasian,1084
83.948,503,2,44,18, Male,No,No,Caucasian,806
68.206,499,5,40,16,Female,Yes,No,African American,1411
75.257,494,3,34,18,Female,No,Yes,Caucasian,885
71.061,491,3,41,19,Female,Yes,Yes,African American,1350
46.007,491,4,42,14, Male,No,Yes,Caucasian,1046
113.772,489,4,69,15, Male,Yes,Yes,Caucasian,790
49.927,485,3,75,17,Female,No,Yes,Caucasian,890
106.025,483,3,82,15,Female,Yes,Yes,Asian,903
91.876,483,2,33,10, Male,No,Yes,Caucasian,605
37.878,482,2,80,13,Female,No,No,Caucasian,1129
62.602,481,1,84,11,Female,No,No,Caucasian,904
42.079,479,2,44,9, Male,No,No,Asian,1048
69.251,474,4,30,12,Female,No,Yes,Asian,768
73.327,472,2,43,15,Female,No,No,Caucasian,721
31.861,469,3,25,16,Female,No,Yes,Caucasian,1120
36.508,469,4,79,6,Female,No,Yes,Caucasian,1048
110.968,468,3,45,11,Female,No,Yes,Caucasian,391
35.61,466,4,40,12, Male,No,No,Caucasian,992
30.007,462,2,69,9,Female,No,Yes,Caucasian,1093
58.165,460,1,56,12,Female,No,Yes,Caucasian,856
39.831,459,3,32,12,Female,Yes,Yes,African American,1425
27.33,459,4,36,12,Female,No,Yes,Caucasian,1099
58.929,459,2,66,9,Female,No,Yes,African American,789
37.348,458,1,72,17,Female,No,No,Caucasian,968
48.498,456,3,47,16, Male,No,Yes,Caucasian,812
62.413,455,2,71,11,Female,No,Yes,Caucasian,762
34.664,452,3,77,15,Female,No,Yes,African American,835
33.437,451,4,44,9, Male,Yes,No,Caucasian,1549
33.657,450,6,55,9,Female,No,No,Caucasian,1092
107.986,449,4,64,14, Male,No,Yes,Caucasian,227
49.57,448,1,28,9,Female,No,Yes,Asian,891
55.367,448,1,33,15, Male,No,Yes,Caucasian,815
36.929,445,1,24,14,Female,No,Yes,Asian,976
34.48,442,3,36,14, Male,No,No,Caucasian,962
89,440,3,37,6,Female,No,No,Caucasian,345
30.55,439,5,81,9,Female,No,No,African American,967
32.856,438,4,68,13, Male,No,No,Caucasian,926
44.847,437,3,53,13,Female,Yes,No,Asian,1246
63.931,435,3,28,14,Female,No,Yes,African American,581
53.566,434,4,82,10,Female,No,No,Caucasian,712
26.427,433,5,50,15,Female,Yes,Yes,Asian,1404
29.638,433,3,29,15,Female,No,Yes,Asian,942
64.173,433,1,80,10, Male,No,Yes,Caucasian,578
20.191,431,4,42,16, Male,No,Yes,African American,1023
66.989,430,3,47,14,Female,No,Yes,Caucasian,482
76.782,429,4,44,12, Male,No,Yes,Asian,548
21.455,427,4,80,12,Female,No,Yes,African American,1018
