date,fips,county,state,total_cases,total_deaths,daily_positive_7day_ma,daily_deaths_7day_ma,positivity_rate_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,rt_mean,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
1,25017,Middlesex,MA,27779,2156,109.286,2.57143,0.008037,2.1352,1.42346,3.20279,1.06016,295.05,196.7,442.576,4091.62,2727.74,6137.42,0.002539,0.001692,0.003808,173300,115534,259951,0.107527,0.071684,0.16129
2,25017,Middlesex,MA,27961,2160,122.571,3,0.008413,2.13459,1.42306,3.20188,1.06707,297.579,198.385,446.367,4154.04,2769.36,6231.05,0.002577,0.001718,0.003866,173598,115732,260397,0.107711,0.071807,0.161567
3,25017,Middlesex,MA,28101,2166,128.571,3.28571,0.008755,2.14476,1.42984,3.21714,1.06982,299.592,199.728,449.388,4203.46,2802.31,6305.19,0.002608,0.001739,0.003912,173898,115932,260846,0.107897,0.071931,0.161846
4,25017,Middlesex,MA,28243,2166,129,2.85714,0.009511,2.18016,1.45344,3.27023,1.0737,303.859,202.572,455.788,4246.71,2831.14,6370.06,0.002635,0.001757,0.003952,174201,116134,261302,0.108086,0.072057,0.162128
5,25017,Middlesex,MA,28308,2172,130.857,3.28571,0.009981,2.19673,1.46449,3.29509,1.08239,308.096,205.397,462.144,4282.62,2855.08,6423.92,0.002657,0.001771,0.003986,174510,116340,261764,0.108277,0.072185,0.162415
6,25017,Middlesex,MA,28392,2172,126.429,3.28571,0.010212,2.20817,1.47212,3.31226,1.09359,314.395,209.596,471.592,4319.49,2879.66,6479.23,0.00268,0.001787,0.00402,174824,116549,262236,0.108472,0.072315,0.162708
7,25017,Middlesex,MA,28533,2175,129.857,3,0.010236,2.20762,1.47174,3.31142,1.1089,325.364,216.909,488.046,4366.82,2911.21,6550.23,0.002709,0.001806,0.004064,175149,116766,262724,0.108674,0.072449,0.163011
8,25017,Middlesex,MA,28638,2178,122.714,3.14286,0.009764,2.20599,1.47066,3.30899,1.12694,340.06,226.707,510.091,4431.34,2954.22,6647,0.002749,0.001833,0.004124,175489,116993,263234,0.108885,0.07259,0.163327
9,25017,Middlesex,MA,28796,2182,119.286,3.14286,0.010139,2.22353,1.48235,3.33529,1.14618,351.94,234.626,527.91,4511.45,3007.63,6767.17,0.002799,0.001866,0.004199,175841,117228,263762,0.109103,0.072735,0.163655
10,25017,Middlesex,MA,28917,2186,116.571,2.85714,0.009969,2.216,1.47733,3.32399,1.16554,362.683,241.788,544.024,4602.69,3068.46,6904.03,0.002856,0.001904,0.004284,176204,117469,264306,0.109328,0.072885,0.163992
